Dataline,Play,Act,Scene,Player,PlayerLine,Location
85282,Romeo and Juliet,1,Prologue,Prologue,ACT I,PROLOGUE
85283,Romeo and Juliet,1,Prologue,Prologue,PROLOGUE,PROLOGUE
85284,Romeo and Juliet,1,0,RICHMOND,"Two households, both alike in dignity,",PROLOGUE
85285,Romeo and Juliet,1,0,RICHMOND,"In fair Verona, where we lay our scene,",PROLOGUE
85286,Romeo and Juliet,1,0,RICHMOND,"From ancient grudge break to new mutiny,",PROLOGUE
85287,Romeo and Juliet,1,0,RICHMOND,Where civil blood makes civil hands unclean.,PROLOGUE
85288,Romeo and Juliet,1,0,RICHMOND,From forth the fatal loins of these two foes,PROLOGUE
85289,Romeo and Juliet,1,0,RICHMOND,"A pair of star-cross'd lovers take their life,",PROLOGUE
85290,Romeo and Juliet,1,0,RICHMOND,Whose misadventured piteous overthrows,PROLOGUE
85291,Romeo and Juliet,1,0,RICHMOND,Do with their death bury their parents' strife.,PROLOGUE
85292,Romeo and Juliet,1,0,RICHMOND,"The fearful passage of their death-mark'd love,",PROLOGUE
85293,Romeo and Juliet,1,0,RICHMOND,"And the continuance of their parents' rage,",PROLOGUE
85294,Romeo and Juliet,1,0,RICHMOND,"Which, but their children's end, nought could remove,",PROLOGUE
85295,Romeo and Juliet,1,0,RICHMOND,"Is now the two hours' traffic of our stage,",PROLOGUE
85296,Romeo and Juliet,1,0,RICHMOND,"The which if you with patient ears attend,",PROLOGUE
85297,Romeo and Juliet,1,0,RICHMOND,"What here shall miss, our toil shall strive to mend.",PROLOGUE
85298,Romeo and Juliet,1,0,Stage Directions,SCENE I. Verona. A public place.,Verona
85299,Romeo and Juliet,1,0,Stage Directions,"Enter SAMPSON and GREGORY, of the house of Capulet, armed with swords and bucklers",Verona
85300,Romeo and Juliet,1,1,SAMPSON,"Gregory, o' my word, we'll not carry coals.",Verona
85301,Romeo and Juliet,1,1,GREGORY,"No, for then we should be colliers.",Verona
85302,Romeo and Juliet,1,1,SAMPSON,"I mean, an we be in choler, we'll draw.",Verona
85303,Romeo and Juliet,1,1,GREGORY,"Ay, while you live, draw your neck out o' the collar.",Verona
85304,Romeo and Juliet,1,1,SAMPSON,"I strike quickly, being moved.",Verona
85305,Romeo and Juliet,1,1,GREGORY,But thou art not quickly moved to strike.,Verona
85306,Romeo and Juliet,1,1,SAMPSON,A dog of the house of Montague moves me.,Verona
85307,Romeo and Juliet,1,1,GREGORY,"To move is to stir, and to be valiant is to stand:",Verona
85308,Romeo and Juliet,1,1,GREGORY,"therefore, if thou art moved, thou runn'st away.",Verona
85309,Romeo and Juliet,1,1,SAMPSON,A dog of that house shall move me to stand: I will,Verona
85310,Romeo and Juliet,1,1,SAMPSON,take the wall of any man or maid of Montague's.,Verona
85311,Romeo and Juliet,1,1,GREGORY,"That shows thee a weak slave, for the weakest goes",Verona
85312,Romeo and Juliet,1,1,GREGORY,to the wall.,Verona
85313,Romeo and Juliet,1,1,SAMPSON,"True, and therefore women, being the weaker vessels,",Verona
85314,Romeo and Juliet,1,1,SAMPSON,are ever thrust to the wall: therefore I will push,Verona
85315,Romeo and Juliet,1,1,SAMPSON,"Montague's men from the wall, and thrust his maids",Verona
85316,Romeo and Juliet,1,1,SAMPSON,to the wall.,Verona
85317,Romeo and Juliet,1,1,GREGORY,The quarrel is between our masters and us their men.,Verona
85318,Romeo and Juliet,1,1,SAMPSON,"'Tis all one, I will show myself a tyrant: when I",Verona
85319,Romeo and Juliet,1,1,SAMPSON,"have fought with the men, I will be cruel with the",Verona
85320,Romeo and Juliet,1,1,SAMPSON,"maids, and cut off their heads.",Verona
85321,Romeo and Juliet,1,1,GREGORY,The heads of the maids?,Verona
85322,Romeo and Juliet,1,1,SAMPSON,"Ay, the heads of the maids, or their maidenheads,",Verona
85323,Romeo and Juliet,1,1,SAMPSON,take it in what sense thou wilt.,Verona
85324,Romeo and Juliet,1,1,GREGORY,They must take it in sense that feel it.,Verona
85325,Romeo and Juliet,1,1,SAMPSON,Me they shall feel while I am able to stand: and,Verona
85326,Romeo and Juliet,1,1,SAMPSON,'tis known I am a pretty piece of flesh.,Verona
85327,Romeo and Juliet,1,1,GREGORY,"'Tis well thou art not fish, if thou hadst, thou",Verona
85328,Romeo and Juliet,1,1,GREGORY,hadst been poor John. Draw thy tool! here comes,Verona
85329,Romeo and Juliet,1,1,GREGORY,two of the house of the Montagues.,Verona
85330,Romeo and Juliet,1,1,SAMPSON,"My naked weapon is out: quarrel, I will back thee.",Verona
85331,Romeo and Juliet,1,1,GREGORY,How! turn thy back and run?,Verona
85332,Romeo and Juliet,1,1,SAMPSON,Fear me not.,Verona
85333,Romeo and Juliet,1,1,GREGORY,"No, marry, I fear thee!",Verona
85334,Romeo and Juliet,1,1,SAMPSON,"Let us take the law of our sides, let them begin.",Verona
85335,Romeo and Juliet,1,1,GREGORY,"I will frown as I pass by, and let them take it as",Verona
85336,Romeo and Juliet,1,1,GREGORY,they list.,Verona
85337,Romeo and Juliet,1,1,SAMPSON,"Nay, as they dare. I will bite my thumb at them,",Verona
85338,Romeo and Juliet,1,1,SAMPSON,"which is a disgrace to them, if they bear it.",Verona
85339,Romeo and Juliet,1,1,Stage Directions,Enter ABRAHAM and BALTHASAR,Verona
85340,Romeo and Juliet,1,1,ABRAHAM,"Do you bite your thumb at us, sir?",Verona
85341,Romeo and Juliet,1,1,SAMPSON,"I do bite my thumb, sir.",Verona
85342,Romeo and Juliet,1,1,ABRAHAM,"Do you bite your thumb at us, sir?",Verona
